test_name,test_status,test_result
parmcmisc_ijtag_basic_tap_tests_user_defined,PASS,PASS
pardfi_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parmcmisc_parmcmisc_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parmcmisc_stuckat_edt_edt_low_internal_sih_serial_scan,PASS,PASS
pardfi_ijtag_basic_tap_tests_user_defined,FAIL,Error between simulated and expected patterns
parmcmisc_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parmcmisc_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmcmisc_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
pardfi_stuckat_edt_edt_low_internal_sih_serial_chain,PASS,PASS
pardfi_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
pardfi_pardfi_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pardfi_atspeed_edt_edt_low_internal_sih_serial_chain,PASS,PASS
pardfi_atspeed_edt_edt_low_internal_sih_serial_scan,PASS,PASS
pardfi_atspeed_edt_edt_low_internal_sih_loopback,PASS,PASS
pardfi_stuckat_edt_edt_low_internal_loopback,PASS,PASS
pardfi_ssn_continuity,PASS,PASS
pardfi_stuckat_edt_edt_low_internal_sih_loopback,PASS,PASS
pardfi_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmcmisc_stuckat_edt_edt_low_internal_sih_serial_chain,PASS,PASS
parmcmisc_atspeed_edt_edt_low_internal_sih_serial_chain,PASS,PASS
parmcmisc_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
pardfi_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmcmisc_ssn_continuity,PASS,PASS
parmcmisc_stuckat_edt_edt_low_internal_sih_loopback,PASS,PASS
parmcmisc_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmcmisc_ijtag_basic_tap_tests_reset,PASS,PASS
pardfi_icl_verify_dft,PASS,PASS
pardfi_ijtag_basic_tap_tests_reset,PASS,PASS
parmcmisc_atspeed_edt_edt_low_internal_sih_loopback,PASS,PASS
pardfi_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parmcmisc_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmcmisc_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmcmisc_atspeed_edt_edt_low_internal_sih_serial_scan,PASS,PASS
pardfi_ijtag_basic_tap_tests_continuity,PASS,PASS
pardfi_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmcmse_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
pardfi_stuckat_edt_bypass_low_internal_serial_scan,FAIL,Error between simulated and expected patterns
parmcmisc_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parmcmisc_icl_verify_dft,PASS,PASS
pardfi_stuckat_edt_edt_low_internal_sih_serial_scan,FAIL,Error between simulated and expected patterns
pardfi_stuckat_edt_edt_low_internal_serial_scan,FAIL,Error between simulated and expected patterns
parmcmisc_ijtag_basic_tap_tests_continuity,PASS,PASS
parmcmse_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parmcmse_parmcmse_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
phy_cluster_ssn_continuity,PASS,PASS
parmcmse_ijtag_basic_tap_tests_reset,PASS,PASS
parmcmse_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parmcmse_ssn_continuity,PASS,PASS
parmcmse_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmcmse_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
phy_cluster_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
